用户信息:
,username,tester1
,contractname,l1301
,commodityname,l
,uplimitprice,11505
,downlimitprice,10415
,daystolasttradedate,281
,oilimit,0
,daystolastdeliverdate,282
,lendrate,-1
,actualmarginrate,0.14

,contractname,RO209
,commodityname,RO
,uplimitprice,11038
,downlimitprice,9986
,daystolasttradedate,158
,oilimit,0
,daystolastdeliverdate,162
,lendrate,-1
,actualmarginrate,0.15

,contractname,RO301
,commodityname,RO
,uplimitprice,11010
,downlimitprice,9958
,daystolasttradedate,281
,oilimit,0
,daystolastdeliverdate,283
,lendrate,-1
,actualmarginrate,0.15

,contractname,SR205
,commodityname,SR
,uplimitprice,7089
,downlimitprice,6161
,daystolasttradedate,36
,oilimit,0
,daystolastdeliverdate,38
,lendrate,-1
,actualmarginrate,0.16

,contractname,SR209
,commodityname,SR
,uplimitprice,7152
,downlimitprice,6216
,daystolasttradedate,158
,oilimit,0
,daystolastdeliverdate,162
,lendrate,-1
,actualmarginrate,0.16

,contractname,TA205
,commodityname,TA
,uplimitprice,9252
,downlimitprice,8204
,daystolasttradedate,36
,oilimit,0
,daystolastdeliverdate,38
,lendrate,-1
,actualmarginrate,0.17

,contractname,TA209
,commodityname,TA
,uplimitprice,9150
,downlimitprice,8114
,daystolasttradedate,158
,oilimit,0
,daystolastdeliverdate,162
,lendrate,-1
,actualmarginrate,0.17

,contractname,v1205
,commodityname,v
,uplimitprice,7015
,downlimitprice,6355
,daystolasttradedate,36
,oilimit,0
,daystolastdeliverdate,37
,lendrate,-1
,actualmarginrate,0.13

,contractname,v1209
,commodityname,v
,uplimitprice,7360
,downlimitprice,6660
,daystolasttradedate,158
,oilimit,0
,daystolastdeliverdate,161
,lendrate,-1
,actualmarginrate,0.13

,contractname,v1301
,commodityname,v
,uplimitprice,7625
,downlimitprice,6905
,daystolasttradedate,281
,oilimit,0
,daystolastdeliverdate,282
,lendrate,-1
,actualmarginrate,0.13

,contractname,WS209
,commodityname,WS
,uplimitprice,2763
,downlimitprice,2449
,daystolasttradedate,164
,oilimit,0
,daystolastdeliverdate,147
,lendrate,-1
,actualmarginrate,0.16

,contractname,WS301
,commodityname,WS
,uplimitprice,2855
,downlimitprice,2531
,daystolasttradedate,289
,oilimit,0
,daystolastdeliverdate,268
,lendrate,-1
,actualmarginrate,0.16

,contractname,y1205
,commodityname,y
,uplimitprice,10264
,downlimitprice,9288
,daystolasttradedate,36
,oilimit,0
,daystolastdeliverdate,37
,lendrate,-1
,actualmarginrate,0.14

,contractname,y1209
,commodityname,y
,uplimitprice,10444
,downlimitprice,9452
,daystolasttradedate,158
,oilimit,0
,daystolastdeliverdate,161
,lendrate,-1
,actualmarginrate,0.14


品种信息:
,commodityname,a
,exchangeid,DL
,tradeunit,10
,todayexitdiscount,0
,cancelmonth,03
,delivermonth,01|03|05|07|09|11
,issinglemargin,0
,tick,1
,transtype,0
,transfee,8
,vatrate,0.13
,storagedailyfee,0.4
,lendrate,0.061
,deliverchargebyhand,60

,commodityname,c
,exchangeid,DL
,tradeunit,10
,todayexitdiscount,0
,cancelmonth,03
,delivermonth,01|03|05|07|09|11
,issinglemargin,0
,tick,1
,transtype,0
,transfee,5
,vatrate,0.13
,storagedailyfee,0.5
,lendrate,0.061
,deliverchargebyhand,15

,commodityname,CF
,exchangeid,ZZ
,tradeunit,5
,todayexitdiscount,0
,cancelmonth,03
,delivermonth,01|03|05|07|09|11
,issinglemargin,1
,tick,5
,transtype,0
,transfee,25
,vatrate,0.13
,storagedailyfee,0.6
,lendrate,0.061
,deliverchargebyhand,30

,commodityname,ER
,exchangeid,ZZ
,tradeunit,10
,todayexitdiscount,0
,cancelmonth,07
,delivermonth,01|03|05|07|09|11
,issinglemargin,1
,tick,1
,transtype,0
,transfee,6
,vatrate,0.13
,storagedailyfee,0.4
,lendrate,0.061
,deliverchargebyhand,15

,commodityname,l
,exchangeid,DL
,tradeunit,5
,todayexitdiscount,0
,cancelmonth,03
,delivermonth,01|02|03|04|05|06|07|08|09|10|11|12
,issinglemargin,0
,tick,5
,transtype,0
,transfee,20
,vatrate,0.17
,storagedailyfee,1
,lendrate,0.061
,deliverchargebyhand,15

,commodityname,RO
,exchangeid,ZZ
,tradeunit,5
,todayexitdiscount,0
,cancelmonth,05
,delivermonth,01|03|05|07|09|11
,issinglemargin,1
,tick,2
,transtype,0
,transfee,10
,vatrate,0.13
,storagedailyfee,0.9
,lendrate,0.061
,deliverchargebyhand,7.5

,commodityname,SR
,exchangeid,ZZ
,tradeunit,10
,todayexitdiscount,0
,cancelmonth,11
,delivermonth,01|03|05|07|09|11
,issinglemargin,1
,tick,1
,transtype,0
,transfee,16
,vatrate,0.17
,storagedailyfee,0.45
,lendrate,0.061
,deliverchargebyhand,15

,commodityname,TA
,exchangeid,ZZ
,tradeunit,5
,todayexitdiscount,0
,cancelmonth,09
,delivermonth,01|02|03|04|05|06|07|08|09|10|11|12
,issinglemargin,1
,tick,2
,transtype,0
,transfee,12
,vatrate,0.17
,storagedailyfee,0.4
,lendrate,0.061
,deliverchargebyhand,15

,commodityname,v
,exchangeid,DL
,tradeunit,5
,todayexitdiscount,0
,cancelmonth,03
,delivermonth,01|02|03|04|05|06|07|08|09|10|11|12
,issinglemargin,0
,tick,5
,transtype,0
,transfee,15
,vatrate,0.17
,storagedailyfee,1
,lendrate,0.061
,deliverchargebyhand,15

,commodityname,WS
,exchangeid,ZZ
,tradeunit,10
,todayexitdiscount,0
,cancelmonth,07
,delivermonth,01|03|05|07|09|11
,issinglemargin,1
,tick,1
,transtype,0
,transfee,10
,vatrate,0.13
,storagedailyfee,0.4
,lendrate,0.061
,deliverchargebyhand,15

,commodityname,y
,exchangeid,DL
,tradeunit,10
,todayexitdiscount,0
,cancelmonth,12
,delivermonth,01|03|05|07|08|09|11|12
,issinglemargin,0
,tick,2
,transtype,0
,transfee,20
,vatrate,0.13
,storagedailyfee,0.9
,lendrate,0.061
,deliverchargebyhand,15


